id,artist,title,category_id,spotify_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
248,B.B.King,The Thrill is Gone,1,3cg0dJfrQB66Qf2YthPb6G,0.0934,0.692,0.493,0.0017,9,0.128,0.7585,0.0325,0.3938,0.28
249,Led Zeppelin,I Can't Quit You Baby,1,62QInSlXQI11BR9ycVWjd6,0.525,0.506,0.434,0.0011,2,0.234,0.6561,0.129,0.366,0.498
250,Mamie Smith,Crazy Blues,1,5j6tQBJnNG4wLLdVISJ5g2,0.996,0.436,0.178,0.912,5,0.259,0.666,0.0448,0.5084,0.464
251,Robert Johnson,Hellhound On My Trail,1,2KkJj006V93x8d9dXpgmIg,0.976,0.546,0.169,0.0,6,0.133,0.6537,0.0377,0.4377,0.549
252,T-Bone Walker,Stormy Monday,1,1i7nQGgwloILcp6ZftH2Qa,0.545,0.606,0.301,0.0019,0,0.0419,0.7149,0.0423,0.459,0.457
253,Antonio Vivaldi,Four Seasons,2,0CubfbOcWH8CfLJgRSgZKS,0.865,0.281,0.0231,0.0002,5,0.456,0.3223,0.0497,0.5737,0.0636
254,Bach,Brandenburg Concerto 3,2,19DVA9L4jIN4FvbHmAaLqx,0.927,0.539,0.332,0.913,2,0.356,0.6157,0.05,0.4133,0.888
255,Beethoven,Symphony 5,2,6cUCckpdlqHJ5Ascf2uH2A,0.957,0.248,0.298,0.9,0,0.0943,0.6085,0.0395,0.4448,0.157
256,Franz Schubert,Trout Quintet,2,2qspLJIbR4qj4X17dZAB1u,0.95,0.325,0.0716,0.844,0,0.12,0.3299,0.0516,0.5516,0.148
257,George Gershwin,Rhapsody in Blue,2,0g7AZiNDzDuEYOwV27qoXb,0.976,0.309,0.258,0.69,9,0.0924,0.6168,0.0459,0.3389,0.115
258,Charlie Daniels Band,The Devil Went Down to Georgia,3,383Xl5QTigwj3QiA3Qc6S7,0.155,0.523,0.626,0.0,0,0.0869,0.7644,0.0523,0.6097,0.917
259,Hank Williams,Im So Lonesome I Could Cry,3,4tj7IsJrn4MvesuhoY0JBy,0.829,0.524,0.258,0.0016,4,0.328,0.6293,0.0287,0.5088,0.349
260,Johnny Cash,I Walk the Line,3,7hxZF4jETnE5Q75rKQnMjE,0.877,0.713,0.258,0.0061,9,0.0967,0.6352,0.0384,0.4491,0.56
261,Tammy Wynette,Stand By Your Man,3,6xatfNMI8NkY5XxRHAeiS4,0.788,0.517,0.246,0.001,9,0.133,0.7002,0.0308,0.4784,0.525
262,The Statler Brothers,Flowers On The Wall,3,7ledv9CTjqdwnvHgRmETyZ,0.792,0.784,0.451,0.0,8,0.115,0.7194,0.0723,0.4559,0.78
263,Bee Gees,Stayin Alive,4,3mRM4NM8iO7UBqrSigCQFH,0.0322,0.703,0.826,0.0063,10,0.179,0.8205,0.0341,0.4707,0.945
264,Chic,Good Times,4,2wYKNcoqKW4IEcllj42xz1,0.0818,0.869,0.503,0.0084,2,0.187,0.6799,0.0479,0.5121,0.914
265,Gloria Gaynor,I Will Survive,4,7cv28LXcjAC3GsXbUvXKbX,0.0131,0.777,0.725,0.008,0,0.246,0.783,0.05,0.5303,0.529
266,Lipps Inc,Funkytown,4,0KQh7AuuZvpTKWhcJa8Pbr,0.002,0.895,0.453,0.374,0,0.0982,0.6503,0.0756,0.5552,0.257
267,Village People,YMCA,4,7Cp69rNBwU0gaFT8zxExlE,0.152,0.715,0.951,0.0,6,0.302,0.8378,0.132,0.5756,0.671
268,2Pac,Dear Mama,5,6tDxrq4FxEL2q15y37tXT9,0.371,0.773,0.54,0.0,6,0.131,0.8219,0.103,0.3823,0.322
269,Coolio,Gangsta Paradise,5,7lQWRAjyhTpCWFC0jmclT4,0.0655,0.647,0.514,0.0,8,0.398,0.7488,0.0593,0.3635,0.387
270,Notorious B.I.G.,Hypnotize,5,7KwZNVEaqikRSBSpyhXK2j,0.145,0.901,0.697,0.0,9,0.287,0.914,0.28,0.427,0.67
271,Run DMC,Its Like That,5,2J6QnTjHIWwXErNWyF0RUC,0.0591,0.964,0.889,0.0,11,0.166,0.8708,0.147,0.5507,0.552
272,Sugarhill Gang,Rappers Delight,5,0FWhGmPVxLI6jOVF0wjALa,0.465,0.9,0.845,0.0,11,0.0724,0.8174,0.257,0.5054,0.914
273,Art Blakey and The Jazz Messengers,Moanin,6,4Tq2fWpX1nLCkMSOPkYb1Y,0.827,0.614,0.233,0.198,5,0.13,0.5259,0.0568,0.5739,0.448
274,John Coltrane,Giant Steps,6,47vmcuvMWFIsMaiHFIGSIu,0.441,0.431,0.491,0.0005,0,0.134,0.7314,0.0562,0.6738,0.577
275,Louis Armstrong,Potato Head Blues,6,0EpS4MhdAbFVxoQOVTySKc,0.939,0.595,0.248,0.208,5,0.128,0.6745,0.242,0.8329,0.927
276,Miles Davis,So What,6,4vLYewWIvqHfKtJDk8c8tq,0.705,0.517,0.151,0.0014,0,0.116,0.5684,0.0373,0.6198,0.21
277,Thelonious Monk,Straight No Chaser,6,6YYu8qFzcY1ZyzzsJIQM12,0.41,0.465,0.35,0.279,3,0.135,0.6756,0.0403,0.4243,0.62
278,Amon Amarth,Pursuit Of Vikings,7,0sObxZUKqdPfgjG9ahSlP5,0.0001,0.506,0.967,0.41,6,0.167,0.9257,0.0451,0.5896,0.488
279,Hypocrisy,Apocalypse,7,5jEjoz0sZah2umHDbAlHx8,0.0133,0.335,0.429,0.0862,5,0.219,0.7589,0.033,0.5529,0.0779
280,Iron Maiden,The Trooper,7,1Ab3hhOw1TJWDgO10vlxNZ,0.0318,0.285,0.908,0.0091,4,0.311,0.885,0.0705,0.7262,0.669
281,Metallica,Master Of Puppets,7,54bm2e3tk8cliUz3VSdCPZ,0.0007,0.539,0.828,0.421,4,0.154,0.7723,0.035,0.4784,0.562
282,Pantera,Cemetery Gates,7,4vJr55lngvhSM8WIh9CjQc,0.0002,0.274,0.726,0.0113,9,0.0993,0.7115,0.0449,0.6657,0.426
283,ABBA,Dancing Queen,8,4NtUY5IGzHCaqfZemmAu56,0.382,0.539,0.884,0.0017,9,0.76,0.8367,0.0403,0.4582,0.752
284,Britney Spears,Toxic,8,6I9VzXrHxO9rA9A5euc8Ak,0.0249,0.774,0.838,0.025,5,0.242,0.9022,0.114,0.6502,0.924
285,Lady GaGa,Paparazzi,8,7Hqig8kp32q2Ire3ECQvWM,0.113,0.762,0.692,0.0,5,0.094,0.9007,0.0438,0.5223,0.397
286,Madonna,Like A Prayer,8,1z3ugFmUKoCzGsI6jdY4Ci,0.264,0.624,0.842,0.0,5,0.181,0.8679,0.0376,0.5047,0.257
287,Michael Jackson,Billie Jean,8,5ChkMS8OtdzJeqyybCc9R5,0.0236,0.92,0.654,0.0158,11,0.0359,0.9237,0.0401,0.532,0.847
288,Bob Marley,I Shot The Sheriff,9,7HrXkDaGGJ7U5ZmFfFugdD,0.533,0.727,0.795,0.0001,6,0.71,0.8694,0.115,0.6344,0.772
289,Bob Marley,No Woman No Cry,9,423hwXFgoN8RYmqLoLuVvY,0.272,0.655,0.675,0.0236,1,0.727,0.7662,0.0599,0.3527,0.587
290,Desmond Dekker,Israelites,9,18GLelA5vVdzd9X7WGPmJ8,0.188,0.793,0.41,0.0,10,0.0855,0.7335,0.0511,0.6658,0.931
291,The Abyssinians,Satta Massagana,9,6JXQ7fWGFKB6DgiCCSLcXO,0.252,0.501,0.407,0.0003,9,0.128,0.6714,0.305,0.3507,0.722
292,Toots And The Maytals,Pressure Drop,9,7cfILJJHW9ZSkbM2ywLhiN,0.106,0.658,0.571,0.0,8,0.0286,0.7007,0.0432,0.6771,0.985
293,AC-DC,You Shook Me All Night Long,10,2SiXAy7TuUkycRVbbWDEpo,0.0029,0.532,0.767,0.0005,7,0.39,0.8623,0.0574,0.5789,0.755
294,Deep Purple,Highway Star,10,4gVTozEmzwAUXpwj3jEetX,0.0283,0.298,0.895,0.0057,9,0.305,0.8088,0.0547,0.7897,0.544
295,Dire Straits,Sultans of Swing,10,6cr6UDpkjEaMQ80OjWqEBQ,0.0632,0.73,0.868,0.0661,5,0.318,0.8169,0.0288,0.6737,0.923
296,Jimi Hendrix,Purple Haze,10,0wJoRiX5K5BxlqZTolB2LD,0.0088,0.533,0.905,0.578,2,0.0698,0.8683,0.0754,0.495,0.486
297,The Animals,House of the Rising Sun,10,7BY005dacJkbO6EPiOh2wb,0.0004,0.295,0.584,0.218,9,0.0996,0.8326,0.0345,0.5327,0.228
674,Ke$ha,TiK ToK,4,0HPD5WQqrq7wPWR7P7Dw1i,0.0991,0.755,0.837,0.0,2,0.289,0.932,0.142,0.5456,0.714
675,Keri Hilson,I Like - Jost Grubert Radio Mix,8,6YyL7wKVozxjgx5E0bX1Bw,0.0509,0.763,0.82,0.0002,11,0.107,0.8954,0.0577,0.5683,0.829
676,STROMAE,Alors On Danse,8,6uFreJoeTZVC7MgC7B6rF1,0.0928,0.792,0.588,0.0015,1,0.0656,0.767,0.077,0.5452,0.731
677,Owl City,Fireflies,8,3DamFFqW32WihKkTVlwTYQ,0.0275,0.512,0.662,0.0,3,0.118,0.8301,0.0439,0.8187,0.472
678,Cheryl Cole,Fight For This Love,8,6WdV6QM8t87dPidhPzdRJW,0.0201,0.731,0.748,0.0,7,0.0732,0.856,0.0966,0.5588,0.745
679,Iyaz,Replay,8,5vlEg2fT4cFWAqU5QptIpQ,0.173,0.706,0.751,0.0,9,0.168,0.8419,0.0708,0.4138,0.195
680,Lady GaGa,Bad Romance,8,0SiywuOBRcynK0uKGWdCnn,0.0031,0.696,0.921,0.0001,0,0.0842,0.9061,0.0363,0.5409,0.714
681,Amy Macdonald,Dont Tell Me That Its Over,8,0fPstAaoHQAnAVRbjzsmFe,0.0883,0.471,0.916,0.0001,2,0.413,0.8838,0.0391,0.659,0.602
682,Unheilig,Geboren um zu leben,8,7LOxJxYcrPfTrc9OhVAnF0,0.0191,0.51,0.843,0.0,11,0.154,0.8444,0.0432,0.4181,0.35
683,Aura Dione,I Will Love You Monday (365),8,6nH7d8xNcw9mb9PyT8uOkP,0.0061,0.698,0.8,0.0,1,0.021,0.8512,0.0299,0.5225,0.703
684,Stanfour,Wishing You Well,8,4fRLD5ad2kOGE86LjZn67D,0.0013,0.666,0.708,0.0174,0,0.51,0.8661,0.0288,0.5679,0.239
685,OneRepublic,All The Right Moves,8,5XRHGXut00SrJUFmcn2lQF,0.258,0.529,0.948,0.0,0,0.283,0.9118,0.0474,0.6637,0.65
686,Culcha Candela,Monsta,8,1orDTlpI02AkHtNN3RAtLV,0.179,0.843,0.815,0.0,1,0.118,0.8985,0.0334,0.6047,0.955
687,Timbaland,If We Ever Meet Again,8,360UM2DaiHZPRu0EsrOvMp,0.0048,0.652,0.605,0.0,8,0.0605,0.8157,0.0393,0.5731,0.394
688,Black Eyed Peas,I Gotta Feeling,8,4vp2J1l5RD4gMZwGFLfRAu,0.0873,0.743,0.766,0.0,0,0.509,0.8406,0.0265,0.5816,0.61
689,Gossip,Heavy Cross,8,428Dl0NOBojmUS98R2pDHr,0.079,0.793,0.688,0.0604,2,0.145,0.8946,0.0328,0.5457,0.221
690,Rihanna,Rude Boy,8,60jzFy6Nn4M0iD1d94oteF,0.113,0.563,0.75,0.0,11,0.0788,0.8876,0.127,0.7905,0.812
691,Die Atzen Frauenarzt and Manny Marc,Disco Pogo,4,354DSHfVWEsNsa0HWZ6fgg,0.0034,0.85,0.544,0.911,9,0.0515,0.8935,0.128,0.6,0.26
692,Rihanna,Rude Boy,8,60jzFy6Nn4M0iD1d94oteF,0.113,0.563,0.75,0.0,11,0.0788,0.8876,0.127,0.7905,0.812
693,Revolverheld,Spinner,8,3a107HTCOzD2fUQhU0G9Gc,0.0329,0.513,0.695,0.0,9,0.948,0.8114,0.0554,0.344,0.18
694,David Guetta - Kid Cudi,Memories,8,4dTaAiV9xFFCxnPur9c9yL,0.0015,0.544,0.87,0.0,8,0.246,0.8474,0.26,0.5908,0.502
695,Jason Derulo,Whatcha Say,8,67T6l4q3zVjC5nZZPXByU8,0.0444,0.615,0.711,0.0,11,0.145,0.8623,0.0779,0.6547,0.711
696,Black Eyed Peas,Meet Me Halfway,8,0xfpx7AiwgSKEtjotea2L6,0.0047,0.798,0.629,0.0,11,0.324,0.8286,0.0735,0.5909,0.4
697,Alexandra Burke Feat. Flo Rida,Bad Boys,8,04Lhs1gDyQnSIz3xYigWeV,0.0114,0.67,0.861,0.0,1,0.337,0.9056,0.0534,0.6365,0.641
698,Ich + Ich,Einer von Zweien,8,1Wgkake1IWYYR4o58SFWwP,0.135,0.536,0.574,0.0,10,0.114,0.8925,0.0303,0.7638,0.575
699,Timbaland,Morning After Dark,8,6mmtxbG5pzkrJ0BrSdg9uW,0.076,0.734,0.927,0.0013,8,0.0465,0.8939,0.042,0.5365,0.901
700,Muse,Undisclosed Desires,8,0It6VJoMAare1zdV2wxqZq,0.0082,0.683,0.585,0.0162,8,0.0797,0.831,0.0323,0.5273,0.641
701,Culcha Candela,Eiskalt,8,32R1FnM3s7Ai7DYcIiLMa7,0.0358,0.803,0.746,0.0,8,0.181,0.8737,0.0837,0.5364,0.702
702,Melanie Fiona,Monday Morning,8,77vjMJ0LBNtNy3GhD7um3F,0.005,0.692,0.679,0.0,3,0.327,0.8322,0.155,0.4091,0.934
703,Ich + Ich,Pflaster,8,4qgFdtnvuErreV4uT06iQz,0.0145,0.545,0.42,0.0,6,0.132,0.4792,0.299,0.5452,0.563
704,Rihanna,Russian Roulette,8,3rMsX63C0IZVnOT5LGYoTH,0.046,0.48,0.486,0.0,6,0.107,0.8562,0.0447,0.3639,0.265
705,Black Eyed Peas,Rock That Body,8,5K5LbSTVuKKe1KGMNfBgIW,0.0172,0.715,0.907,0.0001,7,0.426,0.8494,0.0993,0.5681,0.841
706,Train,Hey,8,4HlFJV71xXKIGcU3kRyttv,0.185,0.673,0.886,0.0,1,0.0826,0.889,0.0431,0.441,0.795
707,Nickelback,If Today Was Your Last Day,10,4QJLKU75Rg4558f4LbDBRi,0.0001,0.485,0.911,0.0,3,0.092,0.8563,0.0355,0.4089,0.568
708,Gigi Dagostino,Moonlight Shadow,4,1SJ5qPR2v6Jztifxb4Ursl,0.0414,0.781,0.703,0.0136,1,0.131,0.7918,0.032,0.5855,0.829
709,Agnes,Release Me,8,4LiJE6pqgsTX3FtukW6bNh,0.0065,0.621,0.923,0.0001,2,0.108,0.9219,0.0321,0.5817,0.716
710,Calderone Inc.,This Is My Time,8,5lbX1xEKpJMArlqKNazcdY,0.0035,0.586,0.938,0.897,10,0.269,0.8332,0.0284,0.6454,0.573
711,Sivana,Feels Like Im Dancin,4,1LvIm7YD9UvkO6zwDOqYWp,0.0014,0.805,0.553,0.917,9,0.105,0.7869,0.0757,0.5818,0.0736
712,Robbie Williams,Morning Sun,8,0tOpMcr2I01zrr4lyVUHJk,0.193,0.296,0.664,0.0,0,0.169,0.8593,0.0441,0.3308,0.167
713,David Guetta - Akon,Sexy Bitch,8,0uXO2GrNiIb1xHT9LUdxZE,0.076,0.813,0.627,0.0006,11,0.131,0.8745,0.0486,0.591,0.801
714,Jay-Z,Empire State Of Mind [Jay-Z + Alicia Keys],5,6sLeKXRd18llTYeqiCT0lK,0.0224,0.696,0.683,0.0,6,0.135,0.7809,0.126,0.3939,0.796
715,OneRepublic,Secrets,8,1NhPKVLsHhFUHIOZ32QnS2,0.0717,0.516,0.764,0.0,2,0.115,0.8444,0.0366,0.6728,0.376
716,Xavier Naidoo,Halte durch,8,6baT4zfzopb1RHzxR6c09m,0.315,0.458,0.507,0.0001,0,0.108,0.7577,0.0456,0.3162,0.291
717,Timbaland,If We Ever Meet Again,8,360UM2DaiHZPRu0EsrOvMp,0.0048,0.652,0.605,0.0,8,0.0605,0.8157,0.0393,0.5731,0.394
718,Paul and Fritz Kalkbrenner,Sky And Sand,8,4IsHMzDbRE8q5Z4ALsQj3o,0.6,0.791,0.329,0.863,10,0.193,0.6774,0.0592,0.5774,0.526
719,Lisa Mitchell,Neopolitan Dreams,8,2bCDjVF0utbJIHpG7osTvY,0.0334,0.693,0.468,0.0,0,0.166,0.7408,0.0264,0.5181,0.386
720,Helping Haiti,Everybody Hurts,8,1QGkHADH1JUb6dC60C78iY,0.148,0.337,0.291,0.524,2,0.0984,0.6457,0.0347,0.8564,0.332
721,Silbermond,Krieger des Lichts,8,6Nf6EsiJlXrYYydjvSHaXI,0.606,0.511,0.583,0.0,2,0.981,0.7702,0.137,0.7826,0.666
722,Bryan Adams,One World One Flame,8,0GHzhRAicXW0ojZl99Kobc,0.0278,0.448,0.614,0.0,9,0.121,0.8448,0.027,0.3726,0.337
723,Alicia Keys,Try Sleeping With A Broken Heart,8,1yK9LISg5uBOOW5bT2Wm0i,0.158,0.496,0.82,0.246,5,0.13,0.8711,0.112,0.5044,0.549
724,Jan Delay,Hoffnung,8,3GN8H6AoP0SvRm0DmU1Gjw,0.385,0.557,0.658,0.005,10,0.964,0.8156,0.0413,0.5866,0.369
725,Lady GaGa,Bad Romance,8,0SiywuOBRcynK0uKGWdCnn,0.0031,0.696,0.921,0.0001,0,0.0842,0.9061,0.0363,0.5409,0.714
726,P!nk,Bad Influence,8,0gfOQTVzyydtT1Ty0MyqHj,0.0006,0.665,0.903,0.0,2,0.0496,0.8971,0.0574,0.6277,0.731
727,Xavier Naidoo mit Janet Grogan,Alles kann besser werde,8,4nwZ1TyLyV6FLgLByLGS3J,0.047,0.566,0.655,0.0,0,0.159,0.7997,0.046,0.6635,0.193
728,Jurgen Drews,Ich bau dir ein Schloss - Wolken Mix,8,2qvgGXuuAqPqukoLc4u9GN,0.123,0.696,0.996,0.0,3,0.368,0.8911,0.0448,0.5909,0.786
729,Bushido,Alles wird gut,5,7LpgIMeDhtStGp8t8clCJE,0.24,0.631,0.786,0.0,6,0.337,0.8142,0.437,0.4247,0.522
730,Sportfreunde Stiller,Lass mich nie mehr los - Studio Version,8,6xhI2HskPudsR3Tp6xaQJN,0.187,0.642,0.638,0.0003,9,0.244,0.804,0.0293,0.5363,0.588
731,Wencke Myhre,Eingeliebt - ausgeliebt,8,2z65bERgubH2AdDvNyQPmD,0.0417,0.733,0.674,0.0001,10,0.114,0.7839,0.0393,0.4728,0.759
732,Unheilig,Fur immer,8,0cC2BWlRGQY8b3nuks47Hz,0.0018,0.556,0.904,0.0,11,0.0613,0.8691,0.0469,0.6272,0.632
733,Herbert Gronemeyer,Komm Zur Ruhr,8,1ePQ0I0bjbuvDvPxYglOus,0.171,0.469,0.563,0.923,4,0.0862,0.7461,0.0297,0.4136,0.065
734,Unheilig,Mein Stern,8,2H4RL8OCXuNfQIGmpSEj0k,0.147,0.588,0.53,0.236,2,0.192,0.7595,0.0262,0.482,0.268
735,Topmodelz,Time to Wonder,8,3MfmsHozBEzsOkVsRxW0in,0.0584,0.694,0.815,0.0,9,0.33,0.8654,0.0355,0.6365,0.77
736,Alexandra Burke,Hallelujah,8,0HpAEhWAlVeoTjLgFk76hY,0.213,0.499,0.201,0.615,2,0.154,0.693,0.0317,0.4138,0.0474
737,Ich + Ich,Einer von Zweien,8,1Wgkake1IWYYR4o58SFWwP,0.135,0.536,0.574,0.0,10,0.114,0.8925,0.0303,0.7638,0.575
738,Nena,Du bist so gut fur mich,8,2LC5g9PkzK8CFx1amc2TOj,0.0058,0.595,0.708,0.108,10,0.979,0.7933,0.0325,0.5909,0.271
739,David Guetta - Estelle,One Love,8,6GqPoSKu9rgBG6PhaDD8Uj,0.152,0.676,0.642,0.0,0,0.14,0.84,0.059,0.5727,0.374
740,Fady Maalouf,Into The Light,8,3Im8kRkbnJ3oGqhwGtTzZh,0.315,0.617,0.875,0.0,5,0.103,0.889,0.0418,0.5317,0.504
741,Kesha feat. 3OH!3,Blah Blah Blah,8,7lWUJpax919G4JdaFEVmCy,0.0843,0.752,0.836,0.0004,10,0.424,0.9207,0.115,0.5455,0.519
742,Jason Derulo,In My Head,8,5BoIP8Eha5hwmRVURkC2Us,0.0266,0.762,0.748,0.0,0,0.348,0.8962,0.033,0.5,0.851
743,Avril Lavigne,Alice,8,4gLVsEaNMpzkCAM0hXgDoi,0.0458,0.536,0.824,0.0002,0,0.174,0.8899,0.0767,0.5409,0.172
744,Marit Larsen,If A Song Could Get Me You,8,4abKZc7NGHMBoyXWeOksVF,0.378,0.363,0.824,0.0,7,0.175,0.9312,0.12,0.835,0.616
745,Frauenarzt and Manny Marc,Das Geht Ab,4,7wD89kSllJD9busYXspYCN,0.177,0.752,0.932,0.0,6,0.0873,0.8637,0.0989,0.5957,0.651
746,Kate Nash,Foundations,8,1wi4ti9BYUbwoGJ1EBUVtv,0.0795,0.573,0.916,0.0,0,0.0784,0.9153,0.0616,0.384,0.871
747,Jan Delay,Hoffnung,8,3GN8H6AoP0SvRm0DmU1Gjw,0.385,0.557,0.658,0.005,10,0.964,0.8156,0.0413,0.5866,0.369
748,Giovanni,I Cant Dance Alone,8,1Ra3Hdx3e2gqhTLFbecvYQ,0.0957,0.502,0.628,0.0,10,0.0857,0.8744,0.0304,0.3594,0.617
749,Goldfrapp,Rocket,4,1AWObBqIxRl6GoGu5uCVkx,0.0017,0.659,0.766,0.0,5,0.381,0.8534,0.0269,0.5964,0.438
750,Eric Chase,If You Tolerate This,8,0D9wXEGxrTmfSg2fIhHBsw,0.0,0.641,0.856,0.832,7,0.36,0.8345,0.0434,0.5909,0.823
751,Florence + The Machine,Youve Got The Love,8,6u9RqxALwkjJ1ukB1y8vuP,0.0046,0.574,0.704,0.0,6,0.107,0.882,0.0319,0.5,0.368
752,Sean Paul,Hold My Hand,8,0OF184vEASwoN9x3HTFCPQ,0.258,0.664,0.712,0.0,10,0.34,0.931,0.131,0.7905,0.375
753,Shakira,Gypsy,8,3FESsHW8mAuiIsYpK6aJ6u,0.64,0.763,0.758,0.0,6,0.0706,0.8723,0.0576,0.4215,0.515
754,Jay-Z,Young Forever,8,35srNkJVToAzYiZzron1FY,0.417,0.637,0.69,0.0,9,0.211,0.9197,0.0693,0.6379,0.103
755,Unheilig,An deiner Seite,8,4ru1aUDU1hEqffdrO6EDOJ,0.0488,0.62,0.628,0.0001,0,0.104,0.8121,0.0258,0.4818,0.218
756,Three 6 Mafia vs. Tiesto with Sean Kingston,Feel It,4,4ZuzA7bJPki9xqArptIjIe,0.0006,0.651,0.645,0.0,2,0.164,0.8382,0.0621,0.6046,0.516
757,Livingston,Go,8,61q8YXMnH0g4TXalTLbReS,0.13,0.801,0.253,0.0391,1,0.48,0.6101,0.0604,0.5457,0.283
759,Fettes Brot,Jein,8,0llxnKwB2eKrVEUxBWuHgR,0.0442,0.749,0.886,0.0001,1,0.118,0.8778,0.122,0.4524,0.479
760,Bon Jovi,Superman Tonight,10,3IwklwtPJ6pHRfH9Sn7Hjx,0.004,0.47,0.797,0.0,7,0.128,0.8672,0.0442,0.5901,0.157
761,Lady GaGa,Paparazzi,8,7Hqig8kp32q2Ire3ECQvWM,0.113,0.762,0.692,0.0,5,0.094,0.9007,0.0438,0.5223,0.397
762,DJ Gollum vs. Basslovers United,Narcotic,4,3B9eypU2TJd4JM4sWvRntQ,0.0039,0.312,0.916,0.0053,6,0.296,0.7999,0.0401,0.6589,0.798
